Date,Region,New_Tests,Total_Tests,Avg_Testing_Rate,Positivity,Turn_Around,Tests_epi_week
2020-02-15,Vancouver Coastal,7,252,17.857142857142858,0,32,125
2020-02-15,Vancouver Island,0,0,NA,0,0,0
2020-02-16,BC,29,784,48.285714285714285,0.59,56,347
2020-02-16,Fraser,8,399,22.142857142857142,0,80,180
2020-02-16,Interior,0,0,NA,0,0,0
2020-02-16,Northern,2,8,NA,0,104,6
2020-02-16,Unknown,0,0,NA,0,0,0
2020-02-16,Vancouver Coastal,11,263,18.285714285714285,0,56,125
2020-02-16,Vancouver Island,8,72,4.857142857142857,0,56,17
2020-02-17,BC,4,788,43.57142857142857,0.66,20,347
2020-02-17,Fraser,1,400,20.714285714285715,0,8,180
2020-02-17,Interior,0,0,NA,0,0,0
2020-02-17,Northern,0,0,NA,0,0,0
2020-02-17,Unknown,0,0,NA,0,0,0
2020-02-17,Vancouver Coastal,3,266,15.285714285714286,0,32,125
2020-02-17,Vancouver Island,0,0,NA,0,0,0
2020-02-18,BC,101,889,48,1.19,56,347
2020-02-18,Fraser,57,457,23.285714285714285,1.23,56,180
2020-02-18,Interior,0,0,NA,0,0,0
2020-02-18,Northern,4,12,1.7142857142857142,0,56,6
2020-02-18,Unknown,0,0,NA,0,0,0
2020-02-18,Vancouver Coastal,37,303,17.857142857142858,0,8,125
2020-02-18,Vancouver Island,3,75,5.142857142857143,0,32,17
2020-02-19,BC,57,946,48.285714285714285,1.18,56,347
2020-02-19,Fraser,28,485,23.285714285714285,1.23,56,180
2020-02-19,Interior,10,45,4.142857142857143,6.9,128,19
2020-02-19,Northern,0,0,NA,0,0,0
2020-02-19,Unknown,0,0,NA,0,0,0
2020-02-19,Vancouver Coastal,17,320,18.142857142857142,0,32,125
2020-02-19,Vancouver Island,2,77,5.142857142857143,0,56,17
2020-02-20,BC,65,1011,44.57142857142857,0.64,32,347
2020-02-20,Fraser,37,522,20.714285714285715,1.38,32,180
2020-02-20,Interior,6,51,4.857142857142857,5.88,80,19
2020-02-20,Northern,0,0,NA,0,0,0
2020-02-20,Unknown,0,0,NA,0,0,0
2020-02-20,Vancouver Coastal,20,340,17.142857142857142,0,32,125
2020-02-20,Vancouver Island,2,79,4.428571428571429,0,32,17
2020-02-21,BC,45,1056,44.714285714285715,1.28,32,347
2020-02-21,Fraser,29,551,23,2.48,32,180
2020-02-21,Interior,0,0,NA,0,0,0
2020-02-21,Northern,0,0,NA,0,0,0
2020-02-21,Unknown,0,0,NA,0,0,0
2020-02-21,Vancouver Coastal,16,356,15.857142857142858,0,44,125
2020-02-21,Vancouver Island,0,0,NA,0,0,0
2020-02-22,BC,46,1102,49.57142857142857,1.73,32,347
2020-02-22,Fraser,20,571,25.714285714285715,3.33,44,180
2020-02-22,Interior,3,54,4.714285714285714,6.06,32,19
2020-02-22,Northern,0,0,NA,0,0,0
2020-02-22,Unknown,0,0,NA,0,0,0
2020-02-22,Vancouver Coastal,21,377,17.857142857142858,0,18.6,125
2020-02-22,Vancouver Island,2,81,3.857142857142857,0,80,17
2020-02-23,BC,17,1119,47.857142857142854,1.79,32,677
2020-02-23,Fraser,11,582,26.142857142857142,3.28,32,385
2020-02-23,Interior,2,56,4.142857142857143,6.9,8,23
2020-02-23,Northern,0,0,NA,0,0,0
2020-02-23,Unknown,0,0,NA,0,0,0
2020-02-23,Vancouver Coastal,4,381,16.857142857142858,0,20,223
2020-02-23,Vancouver Island,0,0,NA,0,0,0
2020-02-24,BC,62,1181,56.142857142857146,1.53,32,677
2020-02-24,Fraser,38,620,31.428571428571427,2.73,56,385
2020-02-24,Interior,0,0,NA,0,0,0
2020-02-24,Northern,0,0,NA,0,0,0
2020-02-24,Unknown,0,0,NA,0,0,0
2020-02-24,Vancouver Coastal,24,405,19.857142857142858,0,8,223
2020-02-24,Vancouver Island,0,0,NA,0,0,0
2020-02-25,BC,77,1258,52.714285714285715,1.08,32,677
2020-02-25,Fraser,48,668,30.142857142857142,1.9,56,385
2020-02-25,Interior,1,57,4,0,104,23
2020-02-25,Northern,4,16,2.142857142857143,0,8,12
2020-02-25,Unknown,0,0,NA,0,0,0
2020-02-25,Vancouver Coastal,19,424,17.285714285714285,0,32,223
2020-02-25,Vancouver Island,5,86,3.7142857142857144,0,104,31
2020-02-26,BC,139,1397,64.42857142857143,0.89,32,677
2020-02-26,Fraser,78,746,37.285714285714285,1.53,32,385
2020-02-26,Interior,2,59,4,0,80,23
2020-02-26,Northern,3,19,2.4285714285714284,0,56,12
2020-02-26,Unknown,2,9,NA,0,20,3
2020-02-26,Vancouver Coastal,52,476,22.285714285714285,0,32,223
2020-02-26,Vancouver Island,2,88,3.4285714285714284,0,32,31
2020-02-27,BC,126,1523,73.14285714285714,0.78,32,677
