"Date","PHU ID","PHU name","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-07-27,2242,"LAMBTON COUNTY","30-39yrs",10092,7854,,,14493,.6963,.5419,
2021-07-27,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","30-39yrs",14677,11198,,,16449,.8923,.6808,
2021-07-27,2244,"MIDDLESEX-LONDON","30-39yrs",53561,39221,,,73436,.7294,.5341,
2021-07-27,2246,"NIAGARA REGION","30-39yrs",39779,30450,,,54175,.7343,.5621,
2021-07-27,2247,"NORTH BAY PARRY SOUND DISTRICT","30-39yrs",9504,7312,,,14543,.6535,.5028,
2021-07-27,2249,"NORTHWESTERN","30-39yrs",8188,6764,,,9958,.8223,.6793,
2021-07-27,2251,"CITY OF OTTAWA","30-39yrs",117137,92928,,,158259,.7402,.5872,
2021-07-27,2253,"PEEL REGION","30-39yrs",172513,133190,,,235513,.7325,.5655,
2021-07-27,2255,"PETERBOROUGH COUNTY-CITY","30-39yrs",12682,9939,,,18338,.6916,.5420,
2021-07-27,2256,"PORCUPINE","30-39yrs",6564,5133,,,9754,.6729,.5262,
2021-07-27,2257,"RENFREW COUNTY AND DISTRICT","30-39yrs",7924,6346,,,13489,.5874,.4705,
2021-07-27,2258,"EASTERN ONTARIO","30-39yrs",16726,11909,,,21920,.7630,.5433,
2021-07-27,2260,"SIMCOE MUSKOKA DISTRICT","30-39yrs",53111,37723,,,74380,.7140,.5072,
2021-07-27,2261,"SUDBURY AND DISTRICT","30-39yrs",15734,11996,,,24368,.6457,.4923,
2021-07-27,2262,"THUNDER BAY DISTRICT","30-39yrs",14585,11657,,,18511,.7879,.6297,
2021-07-27,2263,"TIMISKAMING","30-39yrs",2370,1800,,,3297,.7189,.5460,
2021-07-27,2265,"WATERLOO REGION","30-39yrs",65931,50565,,,84990,.7758,.5950,
2021-07-27,2266,"WELLINGTON-DUFFERIN-GUELPH","30-39yrs",31655,24800,,,42188,.7503,.5878,
2021-07-27,2268,"WINDSOR-ESSEX COUNTY","30-39yrs",35610,28339,,,48477,.7346,.5846,
2021-07-27,2270,"YORK REGION","30-39yrs",115080,96542,,,155115,.7419,.6224,
2021-07-27,3895,"TORONTO","30-39yrs",394658,335115,,,528595,.7466,.6340,
2021-07-27,4913,"SOUTHWESTERN","30-39yrs",18435,12595,,,24409,.7553,.5160,
2021-07-27,5183,"HURON PERTH","30-39yrs",11220,8111,,,14728,.7618,.5507,
2021-07-27,9999,"UNKNOWN","30-39yrs",977,149,,,0,,,
2021-07-27,2226,"ALGOMA DISTRICT","40-49yrs",9170,7220,,,11665,.7861,.6189,
2021-07-27,2227,"BRANT COUNTY","40-49yrs",15147,12370,,,18896,.8016,.6546,
2021-07-27,2230,"DURHAM REGION","40-49yrs",76997,64555,,,93719,.8216,.6888,
2021-07-27,2233,"GREY BRUCE","40-49yrs",13332,11471,,,16555,.8053,.6929,
2021-07-27,2234,"HALDIMAND-NORFOLK","40-49yrs",8558,6937,,,11715,.7305,.5921,
2021-07-27,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","40-49yrs",14358,11351,,,17924,.8010,.6333,
2021-07-27,2236,"HALTON REGION","40-49yrs",77300,61263,,,88209,.8763,.6945,
2021-07-27,2237,"CITY OF HAMILTON","40-49yrs",53825,44436,,,71673,.7510,.6200,
2021-07-27,2238,"HASTINGS & PRINCE EDWARD COUNTIES","40-49yrs",12816,9642,,,17924,.7150,.5379,
2021-07-27,2240,"CHATHAM-KENT","40-49yrs",8157,6614,,,11350,.7187,.5827,
2021-07-27,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","40-49yrs",19065,15978,,,24416,.7808,.6544,
2021-07-27,2242,"LAMBTON COUNTY","40-49yrs",10224,8307,,,13713,.7456,.6058,
2021-07-27,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","40-49yrs",15725,12978,,,18360,.8565,.7069,
2021-07-27,2244,"MIDDLESEX-LONDON","40-49yrs",49425,39294,,,59863,.8256,.6564,
2021-07-27,2246,"NIAGARA REGION","40-49yrs",42083,34455,,,52093,.8078,.6614,
2021-07-27,2247,"NORTH BAY PARRY SOUND DISTRICT","40-49yrs",10210,8289,,,13844,.7375,.5987,
2021-07-27,2249,"NORTHWESTERN","40-49yrs",7715,6635,,,9699,.7955,.6841,
2021-07-27,2251,"CITY OF OTTAWA","40-49yrs",115787,97992,,,134815,.8589,.7269,
2021-07-27,2253,"PEEL REGION","40-49yrs",163810,135887,,,220945,.7414,.6150,
2021-07-27,2255,"PETERBOROUGH COUNTY-CITY","40-49yrs",11716,9660,,,14923,.7851,.6473,
2021-07-27,2256,"PORCUPINE","40-49yrs",7100,5906,,,9835,.7219,.6005,
2021-07-27,2257,"RENFREW COUNTY AND DISTRICT","40-49yrs",8145,6902,,,11851,.6873,.5824,
2021-07-27,2258,"EASTERN ONTARIO","40-49yrs",17917,13640,,,23559,.7605,.5790,
2021-07-27,2260,"SIMCOE MUSKOKA DISTRICT","40-49yrs",54845,42108,,,72346,.7581,.5820,
2021-07-27,2261,"SUDBURY AND DISTRICT","40-49yrs",17588,14285,,,23893,.7361,.5979,
2021-07-27,2262,"THUNDER BAY DISTRICT","40-49yrs",13983,11728,,,17224,.8118,.6809,
2021-07-27,2263,"TIMISKAMING","40-49yrs",2586,2167,,,3499,.7391,.6194,
2021-07-27,2265,"WATERLOO REGION","40-49yrs",61042,50190,,,76587,.7970,.6553,
2021-07-27,2266,"WELLINGTON-DUFFERIN-GUELPH","40-49yrs",31332,26272,,,38968,.8040,.6742,
2021-07-27,2268,"WINDSOR-ESSEX COUNTY","40-49yrs",38901,32981,,,50811,.7656,.6491,
2021-07-27,2270,"YORK REGION","40-49yrs",136750,119752,,,162480,.8416,.7370,
