"REF_DATE","GEO","DGUID","Gender","Age group","Transmission","Hospitalization","Death","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929381","1.1.1.3.1.2","115","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929382","1.1.1.3.1.3","4892","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929383","1.1.1.3.1.4","244","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929384","1.1.1.3.2.1","193","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929385","1.1.1.3.2.2","51","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929386","1.1.1.3.2.3","138","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929387","1.1.1.3.2.4","4","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929388","1.1.1.3.3.1","400","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929389","1.1.1.3.3.2","29","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929390","1.1.1.3.3.3","360","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929391","1.1.1.3.3.4","11","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not hospitalized","Total, by death status","Number","223","units","0","v1160929392","1.1.1.3.4.1","4380","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929393","1.1.1.3.4.2","20","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not hospitalized","No, not deceased","Number","223","units","0","v1160929394","1.1.1.3.4.3","4141","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929395","1.1.1.3.4.4","219","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929396","1.1.1.3.5.1","278","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929397","1.1.1.3.5.2","15","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929398","1.1.1.3.5.3","253","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929399","1.1.1.3.5.4","10","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929400","1.1.1.4.1.1","153359","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929401","1.1.1.4.1.2","2506","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929402","1.1.1.4.1.3","123109","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929403","1.1.1.4.1.4","27744","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929404","1.1.1.4.2.1","1092","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929405","1.1.1.4.2.2","268","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929406","1.1.1.4.2.3","533","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929407","1.1.1.4.2.4","291","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929408","1.1.1.4.3.1","6189","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929409","1.1.1.4.3.2","927","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929410","1.1.1.4.3.3","3850","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929411","1.1.1.4.3.4","1412","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not hospitalized","Total, by death status","Number","223","units","0","v1160929412","1.1.1.4.4.1","140078","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929413","1.1.1.4.4.2","1294","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not hospitalized","No, not deceased","Number","223","units","0","v1160929414","1.1.1.4.4.3","117954","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929415","1.1.1.4.4.4","20830","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929416","1.1.1.4.5.1","6000","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929417","1.1.1.4.5.2","17","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929418","1.1.1.4.5.3","772","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929419","1.1.1.4.5.4","5211","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929420","1.1.2.1.1.1","80878","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929421","1.1.2.1.1.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929422","1.1.2.1.1.3","63000","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929423","1.1.2.1.1.4","17878","","","","0"
