"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-01-01,6251,6241,2,,32200,32145,32134,22,11,
2021-01-02,4614,4602,6,,36814,36695,36682,26,13,
2021-01-03,5395,5388,3,,42209,42083,42067,32,16,
2021-01-04,5995,5993,0,,48204,48075,48060,30,15,
2021-01-05,9685,9660,20,,57889,57733,57699,68,34,
2021-01-06,12793,12328,450,,70682,70057,69577,960,480,
2021-01-07,16218,15507,697,,86900,85563,84386,2354,1177,
2021-01-08,18037,17022,1002,,104937,102585,100406,4358,2179,
2021-01-09,19500,18423,1064,,124437,121007,117764,6486,3243,
2021-01-10,11372,11332,38,,135809,132330,129050,6560,3280,
2021-01-11,11710,11660,48,,147519,143990,140662,6656,3328,
2021-01-12,14467,14160,298,,161986,158142,154516,7252,3626,
2021-01-13,15436,13813,1593,,177422,171941,166724,10434,5217,
2021-01-14,19188,16737,2436,,196610,188672,181020,15304,7652,
2021-01-15,20067,18009,2038,,216677,206670,196980,19380,9690,
2021-01-16,17118,15934,1171,,233795,222588,211727,21722,10861,
2021-01-17,11259,10015,1237,,245054,232588,220492,24192,12096,
2021-01-18,6794,6712,72,,251848,239277,227112,24330,12165,
2021-01-19,11828,9720,2094,,263676,248976,234717,28518,14259,
2021-01-20,10801,7212,3572,,274477,256165,238335,35660,17830,
2021-01-21,10973,6854,4091,,285450,263003,241082,43842,21921,
2021-01-22,9038,4320,4698,,294488,267286,240669,53234,26617,
2021-01-23,7456,3040,4388,,301944,270296,239292,62008,31004,
2021-01-24,4385,1828,2536,,306329,272106,238566,67080,33540,
2021-01-25,5321,1048,4264,,311650,273122,235319,75606,37803,
2021-01-26,9392,2867,6497,,321042,275957,231658,88598,44299,
2021-01-27,9896,2864,7004,,330938,278792,227490,102604,51302,
2021-01-28,13115,5738,7335,,344053,284497,225860,117274,58637,
2021-01-29,10694,3281,7379,,354747,287747,221732,132030,66015,
2021-01-30,9188,2728,6423,,363935,290433,217998,144870,72435,
2021-01-31,3380,1567,1768,,367315,291966,217764,148404,74202,
2021-02-01,2122,485,1609,,369437,292417,216610,151614,75807,
2021-02-02,4412,1359,2995,,373849,293738,214940,157596,78798,
2021-02-03,6236,1716,4458,,380085,295413,212164,166498,83249,
2021-02-04,9079,1709,7291,,389164,297079,206545,181068,90534,
2021-02-05,8442,1466,6903,,397606,298505,201074,194862,97431,
2021-02-06,10667,1871,8736,,408273,300321,194163,212316,106158,
2021-02-07,7574,1729,5796,,415847,302010,190068,223884,111942,
2021-02-08,8218,3095,5080,,424065,305057,188048,234018,117009,
2021-02-09,15007,3857,11082,,439072,308872,180797,256150,128075,
2021-02-10,15508,4929,10518,,454580,313749,175181,277136,138568,
2021-02-11,16367,3899,12410,,470947,317596,166649,301894,150947,
2021-02-12,17670,2098,15522,,488617,319655,153206,332898,166449,
2021-02-13,16209,2443,13751,,504826,322053,141872,360362,180181,
2021-02-14,12878,921,11925,,517704,322926,130850,384152,192076,
2021-02-15,7861,485,7328,,525565,323363,123985,398756,199378,
2021-02-16,5992,1040,4902,,531557,324360,120103,408514,204257,
2021-02-17,10166,1609,8523,,541723,325925,113173,425504,212752,
2021-02-18,13869,2955,10870,,555592,328832,105240,447184,223592,
2021-02-19,18488,6213,12208,,574080,334993,99224,471538,235769,
2021-02-20,22627,11131,11444,,596707,346061,98886,494350,247175,
2021-02-21,17236,10380,6822,,613943,356381,102426,507910,253955,
2021-02-22,13585,8759,4774,,627528,365071,106391,517360,258680,
2021-02-23,17864,11126,6667,,645392,376141,110830,530622,265311,
2021-02-24,18576,13611,4884,,663968,389696,119543,540306,270153,
2021-02-25,20808,16488,4263,,684776,406118,131750,548736,274368,
2021-02-26,24895,21833,3001,,709671,427891,150559,554664,277332,
2021-02-27,27461,23581,3838,,737132,451408,170286,562244,281122,
2021-02-28,20581,19140,1406,,757713,470494,188008,564972,282486,
2021-03-01,18222,17026,1148,,775935,487458,203871,567174,283587,
2021-03-02,24681,22272,2324,,800616,509669,223804,571730,285865,
2021-03-03,30596,27965,2577,,831212,537583,249174,576818,288409,
2021-03-04,34689,32459,2145,,865901,569976,279472,581008,290504,
2021-03-05,39997,38164,1784,,905898,608092,315838,584508,292254,
2021-03-06,44150,41944,2168,,950048,649981,355600,588762,294381,
2021-03-07,32733,31554,1175,,982781,681461,385963,590996,295498,
2021-03-08,24037,22162,1861,,1006818,703555,406250,594610,297305,
2021-03-09,33290,29840,3422,,1040108,733329,432648,601362,300681,
2021-03-10,38338,34076,4217,,1078446,767331,462481,609700,304850,
2021-03-11,43977,40704,3234,,1122423,807969,499937,616064,308032,
2021-03-12,47711,45999,1689,,1170134,853904,544233,619342,309671,
2021-03-13,57922,55047,2848,,1228056,908880,596415,624930,312465,
2021-03-14,43418,42179,1221,,1271474,950976,637358,627236,313618,
2021-03-15,32810,31112,1682,,1304284,982029,666772,630514,315257,
2021-03-16,53956,51657,2282,,1358240,1033621,716125,634992,317496,
2021-03-17,61059,58520,2496,,1419299,1092075,772133,639884,319942,
2021-03-18,61544,59087,2429,,1480843,1151090,828772,644636,322318,
2021-03-19,64468,61139,3273,,1545311,1212151,886613,651076,325538,
2021-03-20,62565,59975,2559,,1607876,1272070,944021,656098,328049,
2021-03-21,43994,42472,1536,,1651870,1314477,984929,659096,329548,
2021-03-22,30999,30034,976,,1682869,1344423,1013955,660936,330468,
2021-03-23,54618,51845,2722,,1737487,1396173,1063046,666254,333127,
2021-03-24,76428,73247,3133,,1813915,1469330,1133127,672406,336203,
2021-03-25,82906,80326,2533,,1896821,1549577,1210898,677358,338679,
2021-03-26,87009,83479,3490,,1983830,1632975,1290858,684234,342117,
2021-03-27,80849,77897,2867,,2064679,1710769,1365850,689838,344919,
2021-03-28,66986,65397,1554,,2131665,1776076,1429660,692832,346416,
2021-03-29,51733,49045,2651,,2183398,1825041,1476020,698042,349021,
2021-03-30,73579,70170,3349,,2256977,1895134,1542805,704658,352329,
2021-03-31,93148,89497,3585,,2350125,1984533,1628672,711722,355861,
2021-04-01,89312,85434,3839,,2439437,2069869,1710222,719294,359647,
2021-04-02,93082,88859,4207,,2532519,2158642,1794840,727604,363802,
2021-04-03,61006,59328,1735,,2593525,2217879,1852393,730972,365486,
2021-04-04,72327,70674,1650,,2665852,2288442,1921364,734156,367078,
2021-04-05,53730,53260,470,,2719582,2341618,1974118,735000,367500,
2021-04-06,79580,77713,1886,,2799162,2419229,2049897,738664,369332,
2021-04-07,108003,104938,3055,,2907165,2524042,2151713,744658,372329,
2021-04-08,114072,110104,4023,,3021237,2634035,2257739,752592,376296,
2021-04-09,109844,105620,4296,,3131081,2739537,2359010,761054,380527,
2021-04-10,109236,105476,3851,,3240317,2844885,2460573,768624,384312,
2021-04-11,98621,95506,3258,,3338938,2940266,2552755,775022,387511,
2021-04-12,76064,75001,1156,,3415002,3015119,2626520,777198,388599,
2021-04-13,99469,96088,3399,,3514471,3111098,2719148,783900,391950,
2021-04-14,117045,113281,3650,,3631516,3224261,2828701,791120,395560,
2021-04-15,113558,109502,3898,,3745074,3333637,2934236,798802,399401,
2021-04-16,118085,113711,4194,,3863159,3447238,3043687,807102,403551,
2021-04-17,112414,107824,4450,,3975573,3554928,3146986,815884,407942,
2021-04-18,88741,86504,2103,,4064314,3641309,3231318,819982,409991,
2021-04-19,68972,67440,1452,,4133286,3708619,3297227,822784,411392,
2021-04-20,102089,98767,3117,,4235375,3807224,3392780,828888,414444,
2021-04-21,142035,137761,4038,,4377410,3944811,3526397,836828,418414,
2021-04-22,139497,135347,3909,,4516907,4080029,3657762,844534,422267,
2021-04-23,138213,131796,6171,,4655120,4211671,3783291,856760,428380,
2021-04-24,130286,126226,3886,,4785406,4337749,3905539,864420,432210,
2021-04-25,102013,98603,3179,,4887419,4436204,4000882,870644,435322,
2021-04-26,70999,69295,1556,,4958418,4505368,4068550,873636,436818,
2021-04-27,98500,95419,2890,,5056918,4600626,4160981,879290,439645,
2021-04-28,120575,115952,4431,,5177493,4716410,4272406,888008,444004,
2021-04-29,124482,119288,5046,,5301975,4835531,4386550,897962,448981,
2021-04-30,115814,110562,5011,,5417789,4945920,4492005,907830,453915,
2021-05-01,111290,107428,3646,,5529079,5053167,4595683,914968,457484,
2021-05-02,79137,76163,2861,,5608216,5129173,4668894,920558,460279,
2021-05-03,56791,55122,1596,,5665007,5184140,4722325,923630,461815,
2021-05-04,91924,88555,3281,,5756931,5272517,4807498,930038,465019,
2021-05-05,137992,133287,4620,,5894923,5405635,4936059,939152,469576,
2021-05-06,141831,136878,4815,,6036754,5542329,5068000,948658,474329,
2021-05-07,150281,145241,4835,,6187035,5687410,5208305,958210,479105,
2021-05-08,142454,137770,4435,,6329489,5824985,5341524,966922,483461,
2021-05-09,124802,121155,3478,,6454291,5945976,5459101,973750,486875,
2021-05-10,97802,95818,1879,,6552093,6041605,5552918,977374,488687,
2021-05-11,113529,108856,4490,,6665622,6150259,5657153,986212,493106,
2021-05-12,145038,138013,6878,,6810660,6288093,5788175,999836,499918,
2021-05-13,142703,135314,7236,,6953363,6423232,5916152,1014160,507080,
2021-05-14,148860,138772,9918,,7102223,6561816,6044883,1033866,516933,
2021-05-15,159731,149689,9863,,7261954,6711318,6184597,1053442,526721,
2021-05-16,144356,136089,8060,,7406310,6847239,6312538,1069402,534701,
2021-05-17,114973,110878,3942,,7521283,6957928,6419361,1077134,538567,
2021-05-18,111328,100461,10665,,7632611,7058193,6509023,1098340,549170,
2021-05-19,149874,133464,16233,,7782485,7191505,6626176,1130658,565329,
2021-05-20,151564,131574,19774,,7934049,7322890,6737856,1170068,585034,
2021-05-21,165381,140878,24245,,8099430,7463587,6854385,1218404,609202,
2021-05-22,199430,172237,26965,,8298860,7635627,6999541,1272172,636086,
2021-05-23,139818,127450,12223,,8438678,7762899,7114652,1296494,648247,
2021-05-24,100295,93324,6826,,8538973,7856050,7201047,1310006,655003,
2021-05-25,90460,82976,7275,,8629433,7938863,7276652,1324422,662211,
2021-05-26,139776,113009,26503,,8769209,8051685,7363041,1377288,688644,
2021-05-27,152055,123038,28764,,8921264,8174566,7457227,1434678,717339,
2021-05-28,163861,132307,31248,,9085125,8306700,7558172,1497056,748528,
2021-05-29,153380,117119,36028,,9238505,8423669,7639169,1569000,784500,
2021-05-30,149717,119011,30479,,9388222,8542510,7727593,1629834,814917,
2021-05-31,99212,79818,19201,,9487434,8622158,7788104,1668108,834054,
2021-06-01,124190,90606,33248,,9611624,8712569,7845342,1734454,867227,
2021-06-02,145312,102149,42912,,9756936,8814537,7904467,1820140,910070,
2021-06-03,155363,99910,55174,,9912299,8914262,7949089,1930346,965173,
2021-06-04,181711,115528,65911,,10094010,9029591,7998595,2061992,1030996,
2021-06-05,172023,103434,68308,,10266033,9132827,8033608,2198438,1099219,
2021-06-06,163388,91863,71245,,10429421,9224512,8054118,2340788,1170394,
2021-06-07,119555,63050,56288,,10548976,9287365,8060758,2453214,1226607,
2021-06-08,161888,72446,89003,,10710864,9359622,8044092,2631060,1315530,
2021-06-09,181463,70807,110187,,10892327,9430252,8004616,2851272,1425636,
2021-06-10,185573,66419,118663,,11077900,9496468,7952260,3088416,1544208,
2021-06-11,204780,67514,136512,,11282680,9563796,7883158,3361276,1680638,
2021-06-12,199728,62673,136455,,11482408,9626287,7809286,3634002,1817001,
2021-06-13,190332,58882,130919,,11672740,9684994,7737154,3895680,1947840,
2021-06-14,137684,38692,98593,,11810424,9723490,7677162,4092656,2046328,
2021-06-15,189535,42615,146566,,11999959,9765887,7573090,4385594,2192797,
2021-06-16,206246,42432,163173,,12206205,9808123,7452256,4711734,2355867,
2021-06-17,210458,37937,171938,,12416663,9845845,7318132,5055426,2527713,
2021-06-18,217181,35352,181226,,12633844,9881007,7172160,5417694,2708847,
2021-06-19,215886,35493,179719,,12849730,9916294,7027840,5776908,2888454,
2021-06-20,186266,35565,150124,,13035996,9951661,6913191,6076940,3038470,
2021-06-21,120428,20826,99101,,13156424,9972292,6834813,6274958,3137479,
2021-06-22,204934,27515,176662,,13361358,9999613,6685581,6628064,3314032,
2021-06-23,230526,28629,201157,,13591884,10028042,6512961,7030162,3515081,
2021-06-24,227687,26670,200262,,13819571,10054516,6339283,7430466,3715233,
2021-06-25,251107,27981,222377,,14070678,10082296,6144804,7874984,3937492,
2021-06-26,261291,30003,230586,,14331969,10112074,5944136,8335876,4167938,
2021-06-27,204996,27785,176605,,14536965,10139677,5795244,8688866,4344433,
2021-06-28,199248,20953,177729,,14736213,10160432,5638395,9044074,4522037,
2021-06-29,250108,24493,224883,,14986321,10184684,5437918,9493532,4746766,
2021-06-30,275536,24174,250794,,15261857,10208655,5211224,9994862,4997431,
2021-07-01,271968,25307,246107,,15533825,10233744,4990345,10486798,5243399,
2021-07-02,144724,11589,132907,,15678549,10245159,4868955,10752408,5376204,
2021-07-03,216893,19929,196733,,15895442,10264866,4692078,11145576,5572788,
2021-07-04,196191,19428,176539,,16091633,10284107,4534900,11498414,5749207,
2021-07-05,148719,12442,136134,,16240352,10296359,4411146,11770426,5885213,
2021-07-06,220032,19992,199825,,16460384,10316135,4231243,12169784,6084892,
2021-07-07,246610,22967,223402,,16706994,10338876,4030730,12616292,6308146,
2021-07-08,231204,21351,209641,,16938198,10360021,3842369,13035304,6517652,
2021-07-09,226996,21509,205318,,17165194,10381328,3658490,13445676,6722838,
2021-07-10,209058,20536,188365,,17374252,10401660,3490594,13822132,6911066,
2021-07-11,171675,17582,153966,,17545927,10419041,3354156,14129770,7064885,
2021-07-12,123133,11445,111591,,17669060,10430297,3253958,14352678,7176339,
2021-07-13,178502,19026,159334,,17847562,10449101,3113583,14671036,7335518,
2021-07-14,180038,19302,160579,,18027600,10468188,2972254,14991868,7495934,
2021-07-15,167197,19584,147439,,18194797,10487561,2844352,15286418,7643209,
2021-07-16,169344,19897,149293,,18364141,10507256,2714907,15584698,7792349,
2021-07-17,173005,20262,152613,,18537146,10527269,2582499,15889540,7944770,
2021-07-18,133626,15929,117560,,18670772,10543014,2480832,16124364,8062182,
2021-07-19,91979,10416,81455,,18762751,10553217,2409755,16286924,8143462,
2021-07-20,133536,16947,116530,,18896287,10569924,2310108,16519632,8259816,
2021-07-21,140083,16983,123028,,19036370,10586692,2204010,16765364,8382682,
2021-07-22,125603,17637,107828,,19161973,10604105,2113772,16980666,8490333,
2021-07-23,120269,16990,103071,,19282242,10620854,2027649,17186410,8593205,
2021-07-24,126695,18331,108125,,19408937,10638982,1937815,17402334,8701167,
2021-07-25,103633,14860,88643,,19512570,10653618,1863989,17579258,8789629,
2021-07-26,66685,9887,56706,,19579255,10663287,1817133,17692308,8846154,
2021-07-27,92375,15314,76898,,19671630,10678340,1755505,17845670,8922835,
2021-07-28,93941,16463,77405,,19765571,10694568,1694519,18000098,9000049,
2021-07-29,89391,16700,72528,,19854962,10711036,1638647,18144778,9072389,
2021-07-30,84061,16104,67842,,19939023,10726912,1586869,18280086,9140043,
2021-07-31,83845,15715,67978,,20022868,10742409,1534578,18415662,9207831,
2021-08-01,61866,11317,50367,,20084734,10753500,1495493,18516014,9258007,
2021-08-02,42488,7415,34954,,20127222,10760717,1467922,18585590,9292795,
2021-08-03,33291,5954,27166,,20160513,10766438,1446687,18639502,9319751,
2021-08-04,61316,12371,48755,,20221829,10778574,1410266,18736616,9368308,
2021-08-05,59454,12545,46756,,20281283,10790911,1376011,18829800,9414900,
2021-08-06,56016,11856,43945,,20337299,10802507,1343891,18917232,9458616,
2021-08-07,62371,12133,50044,,20399670,10814379,1305937,19016884,9508442,
2021-08-08,48679,9269,39222,,20448349,10823420,1275961,19094918,9547459,
2021-08-09,30854,5936,24740,,20479203,10829142,1257130,19144024,9572012,
2021-08-10,49253,10507,38444,,20528456,10839369,1229159,19220420,9610210,
2021-08-11,48719,10764,37708,,20577175,10849886,1202184,19295404,9647702,
2021-08-12,49244,11193,37820,,20626419,10860828,1175515,19370626,9685313,
2021-08-13,49621,11726,37619,,20676040,10872313,1149592,19445442,9722721,
2021-08-14,51216,12131,38875,,20727256,10884194,1122822,19522744,9761372,
2021-08-15,41761,9849,31689,,20769017,10893841,1100952,19585778,9792889,
2021-08-16,26734,6180,20402,,20795751,10899798,1086704,19626188,9813094,
2021-08-17,40498,11055,29178,,20836249,10910603,1068557,19684092,9842046,
2021-08-18,41889,11967,29679,,20878138,10922328,1050813,19743030,9871515,
2021-08-19,45888,16530,29096,,20924026,10938607,1038219,19800776,9900388,
2021-08-20,46440,16285,29740,,20970466,10954636,1024737,19859798,9929899,
2021-08-21,47948,15141,32439,,21018414,10969517,1007406,19924222,9962111,
2021-08-22,34385,10802,23313,,21052799,10980073,994871,19970404,9985202,
2021-08-23,23219,7004,15999,,21076018,10986842,985855,20001974,10000987,
2021-08-24,37649,13374,23820,,21113667,10999962,975386,20049152,10024576,
2021-08-25,41340,14418,26312,,21155007,11014124,963473,20101302,10050651,
2021-08-26,39263,13551,24970,,21194270,11027399,952019,20150760,10075380,
2021-08-27,37667,12936,23687,,21231937,11040094,941241,20197706,10098853,
2021-08-28,40115,13422,25516,,21272052,11053237,929123,20248228,10124114,
2021-08-29,30551,10249,19942,,21302603,11063254,919411,20287686,10143843,
2021-08-30,18232,6139,11843,,21320835,11069145,913678,20310934,10155467,
2021-08-31,32707,11936,19620,,21353542,11080813,905966,20349694,10174847,
2021-09-01,36238,12941,21952,,21389780,11093521,896939,20393164,10196582,
2021-09-02,37769,15641,19663,,21427549,11108910,892892,20432036,10216018,
2021-09-03,46882,21092,22440,,21474431,11129753,891525,20476456,10238228,
2021-09-04,46873,20586,24772,,21521304,11150093,887316,20525554,10262777,
2021-09-05,33066,14201,18573,,21554370,11164050,882924,20562252,10281126,
2021-09-06,21711,9488,12031,,21576081,11173289,880364,20585850,10292925,
2021-09-07,15006,6727,8095,,21591087,11179759,878979,20601560,10300780,
2021-09-08,41143,17114,20931,,21632230,11196609,875144,20642930,10321465,
2021-09-09,41442,16972,19674,,21673672,11213304,872417,20681774,10340887,
2021-09-10,39641,15506,19003,,21713313,11228548,868902,20719292,10359646,
2021-09-11,42374,15932,23337,,21755687,11244201,861476,20765450,10382725,
2021-09-12,29963,11530,17866,,21785650,11255437,855110,20800654,10400327,
2021-09-13,16087,6406,9184,,21801737,11261609,852317,20818584,10409292,
2021-09-14,29899,11555,15288,,21831636,11272862,848557,20848610,10424305,
2021-09-15,39273,14020,19419,,21870909,11286623,843143,20886960,10443480,
2021-09-16,39343,13983,19245,,21910252,11300371,837858,20925026,10462513,
2021-09-17,38922,13610,19332,,21949174,11313738,832124,20963228,10481614,
2021-09-18,41239,14080,23535,,21990413,11327545,822648,21009794,10504897,
2021-09-19,30654,10827,18978,,22021067,11338113,814484,21047258,10523629,
2021-09-20,16729,6098,10176,,22037796,11343957,810383,21067148,10533574,
2021-09-21,31355,11213,16987,,22069151,11354905,804593,21100624,10550312,
2021-09-22,41811,14813,22927,,22110962,11369422,796458,21145928,10572964,
2021-09-23,47225,16136,26029,,22158187,11385295,786546,21197498,10598749,
2021-09-24,46297,15628,26646,,22204484,11400663,775509,21250308,10625154,
2021-09-25,48193,15253,29946,,22252677,11415663,760797,21309732,10654866,
2021-09-26,37497,12418,24486,,22290174,11427806,748708,21358196,10679098,
2021-09-27,19157,6530,12321,,22309331,11434082,742901,21382362,10691181,
2021-09-28,30953,11292,17878,,22340284,11445115,736303,21417624,10708812,
2021-09-29,37886,12475,21726,,22378170,11457319,727032,21460574,10730287,
2021-09-30,37333,11651,21370,,22415503,11468711,717294,21502834,10751417,
2021-10-01,30875,9809,18412,,22446378,11478294,708678,21539232,10769616,
2021-10-02,37134,11156,23583,,22483512,11489180,696233,21585894,10792947,
2021-10-03,27201,8161,18323,,22510713,11497100,686058,21622084,10811042,
2021-10-04,14866,4746,9801,,22525579,11501600,680985,21641230,10820615,
2021-10-05,26822,8593,15869,,22552401,11509932,673694,21672476,10836238,
2021-10-06,31658,9635,18507,,22584059,11519308,664814,21708988,10854494,
2021-10-07,30342,9393,17116,,22614401,11528450,657078,21742744,10871372,
2021-10-08,32837,10740,18851,,22647238,11538920,648954,21779932,10889966,
2021-10-09,34135,10661,21013,,22681373,11549318,638588,21821460,10910730,
2021-10-10,23405,7658,15080,,22704778,11556725,631154,21851142,10925571,
2021-10-11,12001,3839,7863,,22716779,11560314,627114,21866400,10933200,
2021-10-12,5106,1625,3264,,22721885,11561661,625460,21872402,10936201,
2021-10-13,29101,9189,18082,,22750986,11570560,616551,21908018,10954009,
2021-10-14,29008,8903,17744,,22779994,11579188,607700,21942976,10971488,
2021-10-15,29098,8831,18167,,22809092,11587756,598351,21978810,10989405,
2021-10-16,31135,8984,19869,,22840227,11596449,587454,22017990,11008995,
2021-10-17,23703,7260,15371,,22863930,11603455,579330,22048250,11024125,
2021-10-18,12305,3746,8146,,22876235,11606920,574918,22064004,11032002,
2021-10-19,21265,6624,12628,,22897500,11613262,568901,22088722,11044361,
2021-10-20,25666,7540,14919,,22923166,11620555,561509,22118092,11059046,
2021-10-21,23175,6681,13028,,22946341,11626967,555151,22143632,11071816,
2021-10-22,26115,7311,15110,,22972456,11633955,547336,22173238,11086619,
2021-10-23,28173,7605,17151,,23000629,11641298,537783,22207030,11103515,
2021-10-24,19346,5727,12597,,23019975,11646769,530901,22231736,11115868,
2021-10-25,9928,2709,6475,,23029903,11649209,527127,22244164,11122082,
2021-10-26,18904,5388,11096,,23048807,11654319,521410,22265818,11132909,
2021-10-27,22847,6077,13207,,23071654,11660141,514266,22291750,11145875,
2021-10-28,22302,5791,12643,,23093956,11665644,507403,22316482,11158241,
2021-10-29,22809,5731,13046,,23116765,11671073,500073,22342000,11171000,
2021-10-30,24109,6041,14613,,23140874,11676842,491489,22370706,11185353,
2021-10-31,16475,4594,10597,,23157349,11681142,485481,22391322,11195661,
2021-11-01,7869,2080,5054,,23165218,11682942,482494,22400896,11200448,
2021-11-02,15622,4364,7744,,23180840,11687017,479103,22415828,11207914,
2021-11-03,18621,5067,9602,,23199461,11691781,474558,22434446,11217223,
2021-11-04,19505,4874,10031,,23218966,11696379,469386,22453986,11226993,
2021-11-05,21464,4404,9519,,23240430,11700494,464257,22472474,11236237,
2021-11-06,25330,5205,12154,,23265760,11705430,457291,22496278,11248139,
2021-11-07,21448,4024,8921,,23287208,11709173,452382,22513582,11256791,
2021-11-08,11990,2110,4731,,23299198,11710988,449745,22522486,11261243,
2021-11-09,24120,3850,7645,,23323318,11714517,445940,22537154,11268577,
2021-11-10,28474,4508,8994,,23351792,11718748,441440,22554616,11277308,
2021-11-11,28754,4305,9094,,23380546,11722757,436642,22572230,11286115,
2021-11-12,26738,4162,8236,,23407284,11726628,432554,22588148,11294074,
2021-11-13,34308,5080,11409,,23441592,11731402,426216,22610372,11305186,
2021-11-14,23217,3897,8604,,23464809,11735036,421502,22627068,11313534,
2021-11-15,12700,2184,4494,,23477509,11736960,419184,22635552,11317776,
2021-11-16,26170,3928,7479,,23503679,11740632,415629,22650006,11325003,
2021-11-17,31164,4046,7816,,23534843,11744396,411849,22665094,11332547,
2021-11-18,32502,3865,7526,,23567345,11747955,408174,22679562,11339781,
2021-11-19,35469,3860,7752,,23602814,11751514,404270,22694488,11347244,
2021-11-20,40109,4381,8815,,23642923,11755615,399827,22711576,11355788,
2021-11-21,28116,3435,6945,,23671039,11758788,396303,22724970,11362485,
2021-11-22,14898,1950,3894,,23685937,11760462,394353,22732218,11366109,
2021-11-23,33046,3273,6007,,23718983,11763455,391611,22743688,11371844,
2021-11-24,42650,3755,6801,,23761633,11766906,388554,22756704,11378352,
2021-11-25,46035,3931,6568,,23807668,11770562,385914,22769296,11384648,
2021-11-26,52863,11347,6613,,23860531,11781639,390641,22781996,11390998,
2021-11-27,63511,22353,7031,,23924042,11803711,405953,22795516,11397758,
2021-11-28,51452,27739,5311,,23975494,11831158,428369,22805578,11402789,
2021-11-29,33525,18933,2880,,24009019,11849830,444411,22810838,11405419,
2021-11-30,56029,20680,5133,,24065048,11870229,459948,22820562,11410281,
2021-12-01,69537,26243,5633,,24134585,11896166,480544,22831244,11415622,
2021-12-02,71629,26486,5036,,24206214,11922354,501981,22840746,11420373,
2021-12-03,73417,25095,5169,,24279631,11947153,521901,22850504,11425252,
2021-12-04,81148,27784,6068,47276,24360779,11974644,543608,,11431036,807656
2021-12-05,62625,31927,4408,26268,24423404,12006276,571119,,11435157,833820
2021-12-06,38624,19142,2712,16755,24462028,12025129,587542,,11437587,850497
2021-12-07,60282,14850,4471,40947,24522310,12039707,597911,,11441796,891370
2021-12-08,73446,19055,4677,49711,24595756,12058485,612279,,11446206,941003
2021-12-09,74494,18273,4341,51860,24670250,12076449,626203,,11450246,992778
2021-12-10,77493,17589,4654,55241,24747743,12093757,639133,,11454624,1047938
2021-12-11,83178,20404,5825,56937,24830921,12113872,653698,,11460174,1104789
2021-12-12,60753,22696,4156,33858,24891674,12136288,672232,,11464056,1138558
2021-12-13,34931,11603,2408,20897,24926605,12147594,681417,,11466177,1159360
2021-12-14,101972,9001,3860,89067,25028577,12156284,686543,,11469741,1248307
2021-12-15,127690,12427,4509,110716,25156267,12168407,694451,,11473956,1358923
2021-12-16,139355,12460,4251,122628,25295622,12180581,702650,,11477931,1481452
2021-12-17,159165,12401,4517,142225,25454787,12192707,710525,,11482182,1623580
2021-12-18,175584,13523,4922,157093,25630371,12205936,719114,,11486822,1780578
2021-12-19,140437,18159,3929,118312,25770808,12223794,733336,,11490458,1898779
2021-12-20,106821,10305,2745,93724,25877629,12233831,740886,,11492945,1992405
2021-12-21,215385,12962,4313,198088,26093014,12246477,749528,,11496949,2190372
2021-12-22,237247,14420,5199,217743,26330261,12260598,758735,,11501863,2407997
2021-12-23,257759,11719,5086,240857,26588020,12272012,765362,,11506650,2648748
2021-12-24,223602,9453,4568,209514,26811622,12281168,770243,,11510925,2858146
2021-12-25,89722,3885,2508,83341,26901344,12284778,771615,,11513163,2941380
2021-12-26,11895,388,358,11139,26913239,12284874,771637,,11513237,2952389
2021-12-27,46940,1491,1114,44304,26960179,12286120,772007,,11514113,2996573
2021-12-28,144776,6098,4010,134607,27104955,12291924,774084,,11517840,3131049
2021-12-29,175462,9376,4579,161437,27280417,12301004,778877,,11522127,3292358
2021-12-30,200059,10131,5347,184539,27480476,12310832,783646,,11527186,3476763
2021-12-31,195197,10006,5798,179140,27675673,12320549,787845,,11532704,3655777
2022-01-01,96951,5383,3879,87362,27772624,12325623,789341,,11536282,3742990
2022-01-02,19442,941,928,17444,27792066,12326273,789345,,11536928,3760288
2022-01-03,88253,4773,4591,78808,27880319,12330736,789519,,11541217,3838943
2022-01-04,146362,6000,5314,135008,28026681,12336408,790192,,11546216,3973795
