pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,numtoday,percenttoday,ratetotal,numdeathstoday,percentdeath,ratedeaths,numrecoveredtoday,percentrecover,raterecovered,numteststoday,ratetests,numactive,percentactive,rateactive,numtotal_last7,numtotal_last14,ratetotal_last7,ratetotal_last14,avgtotal_last7,avgincidence_last7,numdeaths_last7,numdeaths_last14,ratedeaths_last7,ratedeaths_last14,avgdeaths_last7,avgratedeaths_last7,numtestedtoday,ratetested
13,New Brunswick,Nouveau-Brunswick,11-05-2020,,120,0,0,120,17184,17987,118,0,0.00,15.20,0,0.00,0.00,0,0.00,14.95,344,22790.71,2,1.67,0.25,2,2,0.25,0.00,0.29,0.04,0,0,0.00,0.00,0.00,0.00,434,21773.26
12,Nova Scotia,Nouvelle-Écosse,11-05-2020,,1019,0,48,1019,35023,38655,767,1,0.10,102.72,1,2.08,4.84,18,2.35,77.31,676,38964.57,204,20.02,20.56,34,119,3.43,0.00,4.86,0.49,10,24,1.01,2.42,1.00,0.14,203,35303.49
11,Prince Edward Island,Île-du-Prince-Édouard,11-05-2020,,27,0,0,27,3910,3926,27,0,0.00,16.43,0,0.00,0.00,0,0.00,16.43,110,23892.70,0,0.00,0.00,0,1,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,64,23795.32
60,Yukon,Yukon,11-05-2020,,11,0,0,11,1088,1055,11,0,0.00,25.59,0,0.00,0.00,0,0.00,25.59,0,24542.87,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,13,25310.57
61,Northwest Territories,Territoires du Nord-Ouest,11-05-2020,,5,0,0,5,1809,1891,5,0,0.00,10.99,0,0.00,0.00,0,0.00,10.99,13,41556.79,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,10,39754.75
62,Nunavut,Nunavut,11-05-2020,,0,0,0,0,576,514,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,39,13044.69,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,8,14618.18
99,Repatriated travellers,Voyageurs rapatriés,11-05-2020,,13,0,0,13,76,48,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,11-05-2020,,69969,11,4979,69980,1121629,1037402,32994,1133,1.62,182.97,122,2.45,13.02,898,2.72,86.27,34030,27124.38,32007,45.74,83.69,9208,21480,24.08,0.00,1315.43,3.44,1136,2278,2.97,5.96,162.00,0.42,24109,29326.62
59,British Columbia,Colombie-Britannique,12-05-2020,,2360,0,131,2360,95558,109861,1832,7,0.30,45.26,1,0.76,2.51,113,6.17,35.13,1354,21067.13,397,16.82,7.61,128,307,2.45,0.00,18.29,0.35,10,26,0.19,0.50,1.00,0.03,1531,18324.37
48,Alberta,Alberta,12-05-2020,,6345,0,118,6345,178208,185866,4866,45,0.71,142.81,1,0.85,2.66,207,4.25,109.52,3260,41834.59,1361,21.45,30.63,452,1495,10.17,0.00,64.57,1.45,12,38,0.27,0.86,2.00,0.04,2706,40110.93
47,Saskatchewan,Saskatchewan,12-05-2020,,573,0,6,573,34801,36523,374,5,0.87,48.57,0,0.00,0.51,11,2.94,31.70,579,30955.79,193,33.68,16.36,86,207,7.29,0.00,12.29,1.04,0,1,0.00,0.08,0.00,0.00,216,29496.27
46,Manitoba,Manitoba,12-05-2020,,278,11,7,289,30799,30721,251,0,0.00,20.89,0,0.00,0.51,4,1.59,18.14,374,22201.02,31,10.73,2.24,7,17,0.51,0.00,1.00,0.07,0,1,0.00,0.07,0.00,0.00,401,22257.39
35,Ontario,Ontario,12-05-2020,,20907,0,1711,20907,444882,301510,15391,361,1.73,141.01,56,3.27,11.54,260,1.69,103.81,13970,20336.19,3805,18.20,25.66,2597,5526,17.52,0.00,371.00,2.50,362,766,2.44,5.17,52.00,0.35,11566,30006.32
24,Quebec,Québec,12-05-2020,,39225,0,3131,39225,290888,321578,10056,756,1.93,455.87,118,3.77,36.39,353,3.51,116.87,7356,37373.26,26038,66.38,302.61,5808,13468,67.50,0.00,829.71,9.64,733,1449,8.52,16.84,105.00,1.22,6649,33806.52
