"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-09-15","Central","Maplehurst Correctional Complex",,6,3
"2020-09-15","Central","Ontario Correctional Institute",,89,2
"2020-09-15","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-15","Eastern","Central East Correctional Centre",,1,2
"2020-09-15","Central","Niagara Detention Centre",,1,1
"2020-09-15","Western","Central North Correctional Centre",,1,1
"2020-09-15","Northern","Kenora Jail",,2,
"2020-09-15","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-15","Western","South West Detention Center",1,1,
"2020-09-15","Toronto","Toronto East Detention Centre",,1,
"2020-09-15","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-16","Northern","Monteith Correctional Centre",,1,
"2020-09-16","Central","Maplehurst Correctional Complex",,6,3
"2020-09-16","Central","Ontario Correctional Institute",,89,2
"2020-09-16","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-16","Central","Milton-Vanier Centre For Women",1,1,3
"2020-09-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-16","Eastern","Central East Correctional Centre",,1,2
"2020-09-16","Central","Niagara Detention Centre",,1,1
"2020-09-16","Western","Central North Correctional Centre",,1,1
"2020-09-16","Northern","Kenora Jail",,2,
"2020-09-16","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-16","Western","South West Detention Center",1,1,
"2020-09-16","Toronto","Toronto East Detention Centre",,1,
"2020-09-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-17","Northern","Monteith Correctional Centre",,1,
"2020-09-17","Central","Maplehurst Correctional Complex",,6,3
"2020-09-17","Central","Ontario Correctional Institute",,89,2
"2020-09-17","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-17","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-17","Central","Hamilton Wentworth Det Centre",1,1,
"2020-09-17","Eastern","Central East Correctional Centre",,1,2
"2020-09-17","Central","Niagara Detention Centre",,1,1
"2020-09-17","Western","Central North Correctional Centre",,1,1
"2020-09-17","Northern","Kenora Jail",,2,
"2020-09-17","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-17","Western","South West Detention Center",1,1,
"2020-09-17","Toronto","Toronto East Detention Centre",,1,
"2020-09-17","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-20","Northern","Monteith Correctional Centre",,1,
"2020-09-20","Central","Maplehurst Correctional Complex",,6,3
"2020-09-20","Central","Ontario Correctional Institute",,89,2
"2020-09-20","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-20","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-20","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-20","Eastern","Central East Correctional Centre",,1,2
"2020-09-20","Central","Niagara Detention Centre",,1,1
"2020-09-20","Western","Central North Correctional Centre",,1,1
"2020-09-20","Northern","Kenora Jail",,2,
"2020-09-20","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-20","Western","South West Detention Center",1,1,
"2020-09-20","Toronto","Toronto East Detention Centre",,1,
"2020-09-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-21","Northern","Monteith Correctional Centre",,1,
"2020-09-21","Central","Maplehurst Correctional Complex",,6,3
"2020-09-21","Central","Ontario Correctional Institute",,89,2
"2020-09-21","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-21","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-21","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-21","Eastern","Central East Correctional Centre",,1,2
"2020-09-21","Central","Niagara Detention Centre",,1,1
"2020-09-21","Western","Central North Correctional Centre",1,1,1
"2020-09-21","Northern","Kenora Jail",,2,
"2020-09-21","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-21","Western","South West Detention Center",1,1,
"2020-09-21","Toronto","Toronto East Detention Centre",,1,
"2020-09-21","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-22","Northern","Monteith Correctional Centre",,1,
"2020-09-22","Central","Maplehurst Correctional Complex",,6,3
"2020-09-22","Central","Ontario Correctional Institute",,89,2
"2020-09-22","Toronto","Toronto South Detention Centre",,13,7
"2020-09-22","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-22","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-22","Eastern","Central East Correctional Centre",,1,2
"2020-09-22","Central","Niagara Detention Centre",,1,1
"2020-09-22","Western","Central North Correctional Centre",1,1,1
"2020-09-22","Northern","Kenora Jail",,2,
"2020-09-22","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-22","Western","South West Detention Center",1,1,
"2020-09-22","Toronto","Toronto East Detention Centre",,1,
"2020-09-22","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-23","Northern","Monteith Correctional Centre",,1,
"2020-09-23","Central","Maplehurst Correctional Complex",,6,3
"2020-09-23","Central","Ontario Correctional Institute",,89,2
"2020-09-23","Toronto","Toronto South Detention Centre",,13,7
"2020-09-23","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-23","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-23","Eastern","Central East Correctional Centre",,1,2
"2020-09-23","Central","Niagara Detention Centre",,1,1
"2020-09-23","Western","Central North Correctional Centre",1,1,1
"2020-09-23","Northern","Kenora Jail",,2,
"2020-09-23","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-23","Western","South West Detention Center",1,1,
"2020-09-23","Toronto","Toronto East Detention Centre",,1,
"2020-09-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-24","Northern","Monteith Correctional Centre",,1,
"2020-09-24","Central","Maplehurst Correctional Complex",,6,3
"2020-09-24","Central","Ontario Correctional Institute",,89,2
"2020-09-24","Toronto","Toronto South Detention Centre",,13,7
"2020-09-24","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-24","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-24","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-24","Eastern","Central East Correctional Centre",,1,2
"2020-09-24","Central","Niagara Detention Centre",,1,1
"2020-09-24","Western","Central North Correctional Centre",1,1,1
"2020-09-24","Northern","Kenora Jail",,2,
"2020-09-24","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-24","Western","South West Detention Center",1,1,
"2020-09-24","Toronto","Toronto East Detention Centre",,1,
"2020-09-27","Northern","Monteith Correctional Centre",,1,
"2020-09-27","Central","Maplehurst Correctional Complex",,6,3
"2020-09-27","Central","Ontario Correctional Institute",,89,2
"2020-09-27","Toronto","Toronto South Detention Centre",1,13,7
"2020-09-27","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-27","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-27","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-27","Eastern","Central East Correctional Centre",,1,2
"2020-09-27","Central","Niagara Detention Centre",,1,1
"2020-09-27","Western","Central North Correctional Centre",,2,1
"2020-09-27","Northern","Kenora Jail",,2,
"2020-09-27","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-27","Western","South West Detention Center",,2,
"2020-09-27","Toronto","Toronto East Detention Centre",,1,
"2020-09-28","Northern","Monteith Correctional Centre",,1,
"2020-09-28","Central","Maplehurst Correctional Complex",,6,3
"2020-09-28","Central","Ontario Correctional Institute",,89,2
"2020-09-28","Toronto","Toronto South Detention Centre",1,13,7
"2020-09-28","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-28","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-28","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-28","Eastern","Central East Correctional Centre",,1,2
"2020-09-28","Central","Niagara Detention Centre",,1,1
"2020-09-28","Western","Central North Correctional Centre",,2,1
"2020-09-28","Northern","Kenora Jail",,2,
"2020-09-28","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-28","Western","South West Detention Center",,2,
"2020-09-28","Toronto","Toronto East Detention Centre",,1,
"2020-09-29","Northern","Monteith Correctional Centre",,1,
"2020-09-29","Central","Maplehurst Correctional Complex",,6,3
"2020-09-29","Central","Ontario Correctional Institute",,89,2
"2020-09-29","Toronto","Toronto South Detention Centre",1,13,7
"2020-09-29","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-29","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-29","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-29","Eastern","Central East Correctional Centre",,1,2
"2020-09-29","Central","Niagara Detention Centre",,1,1
"2020-09-29","Western","Central North Correctional Centre",,2,1
"2020-09-29","Northern","Kenora Jail",,2,
"2020-09-29","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-29","Western","South West Detention Center",,2,
"2020-09-29","Toronto","Toronto East Detention Centre",,1,
"2020-09-30","Northern","Monteith Correctional Centre",,1,
"2020-09-30","Central","Maplehurst Correctional Complex",,6,3
"2020-09-30","Central","Ontario Correctional Institute",,89,2
"2020-09-30","Toronto","Toronto South Detention Centre",1,13,7
"2020-09-30","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-30","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-30","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-30","Eastern","Central East Correctional Centre",,1,2
"2020-09-30","Central","Niagara Detention Centre",,1,1
"2020-09-30","Western","Central North Correctional Centre",,2,1
"2020-09-30","Northern","Kenora Jail",,2,
"2020-09-30","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-30","Western","South West Detention Center",,2,
"2020-09-30","Toronto","Toronto East Detention Centre",,1,
"2020-10-01","Northern","Monteith Correctional Centre",,1,
"2020-10-01","Central","Maplehurst Correctional Complex",,6,3
"2020-10-01","Central","Ontario Correctional Institute",,89,2
"2020-10-01","Toronto","Toronto South Detention Centre",1,13,7
"2020-10-01","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-01","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-01","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-01","Eastern","Central East Correctional Centre",,1,2
"2020-10-01","Central","Niagara Detention Centre",,1,1
"2020-10-01","Western","Central North Correctional Centre",,2,1
"2020-10-01","Northern","Kenora Jail",,2,
"2020-10-01","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-01","Western","South West Detention Center",,2,
"2020-10-01","Toronto","Toronto East Detention Centre",,1,
"2020-10-04","Northern","Monteith Correctional Centre",,1,
"2020-10-04","Central","Maplehurst Correctional Complex",,6,3
"2020-10-04","Central","Ontario Correctional Institute",,89,2
"2020-10-04","Toronto","Toronto South Detention Centre",2,13,7
"2020-10-04","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-04","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-04","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-04","Eastern","Central East Correctional Centre",,1,2
"2020-10-04","Central","Niagara Detention Centre",,1,1
"2020-10-04","Western","Central North Correctional Centre",,2,1
"2020-10-04","Northern","Kenora Jail",,2,
"2020-10-04","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-04","Western","South West Detention Center",,2,
"2020-10-04","Toronto","Toronto East Detention Centre",,1,
"2020-10-05","Northern","Monteith Correctional Centre",,1,
"2020-10-05","Central","Maplehurst Correctional Complex",,6,3
"2020-10-05","Central","Ontario Correctional Institute",,89,2
"2020-10-05","Toronto","Toronto South Detention Centre",2,13,7
"2020-10-05","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-05","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-05","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-05","Eastern","Central East Correctional Centre",,1,2
"2020-10-05","Central","Niagara Detention Centre",,1,1
"2020-10-05","Western","Central North Correctional Centre",,2,1
"2020-10-05","Northern","Kenora Jail",,2,
"2020-10-05","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-05","Western","South West Detention Center",,2,
"2020-10-05","Toronto","Toronto East Detention Centre",,1,
"2020-10-06","Northern","Monteith Correctional Centre",,1,
"2020-10-06","Central","Maplehurst Correctional Complex",,6,3
"2020-10-06","Central","Ontario Correctional Institute",,89,2
"2020-10-06","Toronto","Toronto South Detention Centre",2,13,7
"2020-10-06","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-06","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-06","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-06","Eastern","Central East Correctional Centre",,1,2
"2020-10-06","Central","Niagara Detention Centre",,1,1
"2020-10-06","Western","Central North Correctional Centre",,2,1
"2020-10-06","Northern","Kenora Jail",,2,
"2020-10-06","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-06","Western","South West Detention Center",,2,
"2020-10-06","Toronto","Toronto East Detention Centre",,1,
"2020-10-07","Northern","Monteith Correctional Centre",,1,
"2020-10-07","Central","Maplehurst Correctional Complex",,6,3
"2020-10-07","Central","Ontario Correctional Institute",,89,2
"2020-10-07","Toronto","Toronto South Detention Centre",1,14,7
"2020-10-07","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-07","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-07","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-07","Eastern","Central East Correctional Centre",,1,2
"2020-10-07","Central","Niagara Detention Centre",,1,1
"2020-10-07","Western","Central North Correctional Centre",,2,1
"2020-10-07","Northern","Kenora Jail",,2,
"2020-10-07","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-07","Western","South West Detention Center",,2,
"2020-10-07","Toronto","Toronto East Detention Centre",,1,
"2020-10-08","Northern","Monteith Correctional Centre",,1,
"2020-10-08","Central","Maplehurst Correctional Complex",,6,3
"2020-10-08","Central","Ontario Correctional Institute",,89,2
"2020-10-08","Toronto","Toronto South Detention Centre",,15,7
"2020-10-08","Central","Milton-Vanier Centre For Women",,1,4
"2020-10-08","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-08","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-08","Eastern","Central East Correctional Centre",,1,2
"2020-10-08","Central","Niagara Detention Centre",,1,1
"2020-10-08","Western","Central North Correctional Centre",,2,1
"2020-10-08","Northern","Kenora Jail",,2,
"2020-10-08","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-08","Western","South West Detention Center",,2,
"2020-10-08","Toronto","Toronto East Detention Centre",,1,
"2020-10-12","Northern","Monteith Correctional Centre",,1,
"2020-10-12","Central","Maplehurst Correctional Complex",,6,3
"2020-10-12","Central","Ontario Correctional Institute",,89,2
"2020-10-12","Toronto","Toronto South Detention Centre",,14,8
"2020-10-12","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-12","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-12","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-12","Eastern","Central East Correctional Centre",,1,2
"2020-10-12","Central","Niagara Detention Centre",,1,1
"2020-10-12","Western","Central North Correctional Centre",,2,1
"2020-10-12","Northern","Kenora Jail",,2,
"2020-10-12","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-12","Western","South West Detention Center",,2,
"2020-10-12","Toronto","Toronto East Detention Centre",,1,
"2020-10-13","Northern","Monteith Correctional Centre",,1,
"2020-10-13","Central","Maplehurst Correctional Complex",,6,3
"2020-10-13","Central","Ontario Correctional Institute",,89,2
"2020-10-13","Toronto","Toronto South Detention Centre",,14,8
"2020-10-13","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-13","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-13","Eastern","Central East Correctional Centre",,1,2
"2020-10-13","Central","Niagara Detention Centre",,1,1
"2020-10-13","Western","Central North Correctional Centre",,2,1
"2020-10-13","Northern","Kenora Jail",,2,
"2020-10-13","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-13","Western","South West Detention Center",,2,
"2020-10-13","Toronto","Toronto East Detention Centre",,1,
"2020-10-14","Northern","Monteith Correctional Centre",,1,
"2020-10-14","Central","Maplehurst Correctional Complex",,6,3
"2020-10-14","Central","Ontario Correctional Institute",,89,2
"2020-10-14","Toronto","Toronto South Detention Centre",1,14,8
"2020-10-14","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-14","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-14","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-14","Eastern","Central East Correctional Centre",,1,2
"2020-10-14","Central","Niagara Detention Centre",,1,1
"2020-10-14","Western","Central North Correctional Centre",,2,1
"2020-10-14","Northern","Kenora Jail",,2,
"2020-10-14","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-14","Western","South West Detention Center",,2,
"2020-10-14","Toronto","Toronto East Detention Centre",,1,
"2020-10-15","Northern","Monteith Correctional Centre",,1,
"2020-10-15","Central","Maplehurst Correctional Complex",,6,3
"2020-10-15","Central","Ontario Correctional Institute",,89,2
"2020-10-15","Toronto","Toronto South Detention Centre",1,14,8
"2020-10-15","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-15","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-15","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-15","Eastern","Central East Correctional Centre",,1,2
"2020-10-15","Central","Niagara Detention Centre",,1,1
"2020-10-15","Western","Central North Correctional Centre",,2,1
"2020-10-15","Northern","Kenora Jail",,2,
"2020-10-15","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-15","Western","South West Detention Center",,2,
"2020-10-15","Toronto","Toronto East Detention Centre",,1,
"2020-10-18","Northern","Monteith Correctional Centre",,1,
"2020-10-18","Central","Maplehurst Correctional Complex",1,6,3
"2020-10-18","Central","Ontario Correctional Institute",,89,2
"2020-10-18","Toronto","Toronto South Detention Centre",1,14,8
"2020-10-18","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-18","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-18","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-18","Eastern","Central East Correctional Centre",,1,2
"2020-10-18","Central","Niagara Detention Centre",,1,1
"2020-10-18","Western","Central North Correctional Centre",,2,1
"2020-10-18","Northern","Kenora Jail",,2,
"2020-10-18","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-18","Western","South West Detention Center",,2,
"2020-10-18","Toronto","Toronto East Detention Centre",,1,
"2020-10-18","Northern","Algoma Treatment and Remand Centre",1,,
"2020-10-19","Northern","Monteith Correctional Centre",,1,
"2020-10-19","Central","Maplehurst Correctional Complex",1,6,3
"2020-10-19","Central","Ontario Correctional Institute",,89,2
"2020-10-19","Toronto","Toronto South Detention Centre",1,14,8
"2020-10-19","Central","Milton-Vanier Centre For Women",1,1,4
"2020-10-19","Western","Elgin-Middlesex Det. Centre",,1,
"2020-10-19","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-19","Eastern","Central East Correctional Centre",,1,2
"2020-10-19","Central","Niagara Detention Centre",,1,1
"2020-10-19","Western","Central North Correctional Centre",,2,1
"2020-10-19","Northern","Kenora Jail",,2,
"2020-10-19","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-19","Western","South West Detention Center",,2,
"2020-10-19","Toronto","Toronto East Detention Centre",,1,
"2020-10-19","Northern","Algoma Treatment and Remand Centre",1,,
"2020-10-20","Northern","Monteith Correctional Centre",,1,
"2020-10-20","Central","Maplehurst Correctional Complex",1,6,3
"2020-10-20","Central","Ontario Correctional Institute",,89,2
"2020-10-20","Toronto","Toronto South Detention Centre",1,14,8
"2020-10-20","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-20","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-20","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-20","Eastern","Central East Correctional Centre",,1,2
"2020-10-20","Central","Niagara Detention Centre",,1,1
"2020-10-20","Western","Central North Correctional Centre",,2,1
"2020-10-20","Northern","Kenora Jail",,2,
"2020-10-20","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-20","Western","South West Detention Center",,2,
"2020-10-20","Toronto","Toronto East Detention Centre",,1,
"2020-10-20","Northern","Algoma Treatment and Remand Centre",1,,
"2020-10-21","Northern","Monteith Correctional Centre",,1,
"2020-10-21","Central","Maplehurst Correctional Complex",1,6,3
"2020-10-21","Central","Ontario Correctional Institute",,89,2
"2020-10-21","Toronto","Toronto South Detention Centre",,15,8
"2020-10-21","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-21","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-21","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-21","Eastern","Central East Correctional Centre",,1,2
"2020-10-21","Central","Niagara Detention Centre",,1,1
"2020-10-21","Western","Central North Correctional Centre",,2,1
"2020-10-21","Northern","Kenora Jail",,2,
"2020-10-21","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-21","Western","South West Detention Center",,2,
"2020-10-21","Toronto","Toronto East Detention Centre",,1,
"2020-10-21","Northern","Algoma Treatment and Remand Centre",1,,
"2020-10-22","Northern","Monteith Correctional Centre",,1,
"2020-10-22","Central","Maplehurst Correctional Complex",1,6,3
"2020-10-22","Central","Ontario Correctional Institute",,89,2
"2020-10-22","Toronto","Toronto South Detention Centre",,15,8
"2020-10-22","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-22","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-22","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-22","Eastern","Central East Correctional Centre",,1,2
"2020-10-22","Central","Niagara Detention Centre",,1,1
"2020-10-22","Western","Central North Correctional Centre",,2,1
"2020-10-22","Northern","Kenora Jail",,2,
"2020-10-22","Western","Ottawa Carleton Detention Centre",,1,1
"2020-10-22","Western","South West Detention Center",,2,
"2020-10-22","Toronto","Toronto East Detention Centre",,1,
"2020-10-22","Northern","Algoma Treatment and Remand Centre",1,,
"2020-10-25","Northern","Monteith Correctional Centre",,1,
"2020-10-25","Central","Maplehurst Correctional Complex",,7,3
"2020-10-25","Central","Ontario Correctional Institute",,89,2
"2020-10-25","Toronto","Toronto South Detention Centre",,15,8
"2020-10-25","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-25","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-25","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-25","Eastern","Central East Correctional Centre",,1,2
"2020-10-25","Central","Niagara Detention Centre",,1,1
"2020-10-25","Western","Central North Correctional Centre",,2,2
"2020-10-25","Northern","Kenora Jail",,2,
"2020-10-25","Western","Ottawa Carleton Detention Centre",1,1,1
"2020-10-25","Western","South West Detention Center",,2,
"2020-10-25","Toronto","Toronto East Detention Centre",,1,
"2020-10-25","Northern","Algoma Treatment and Remand Centre",,1,
"2020-10-25","Western","Sarnia Jail",1,,
"2020-10-26","Northern","Monteith Correctional Centre",,1,
"2020-10-26","Central","Maplehurst Correctional Complex",,7,3
"2020-10-26","Central","Ontario Correctional Institute",,89,2
"2020-10-26","Toronto","Toronto South Detention Centre",1,15,8
"2020-10-26","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-26","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-26","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-26","Eastern","Central East Correctional Centre",,1,2
"2020-10-26","Central","Niagara Detention Centre",,1,1
"2020-10-26","Western","Central North Correctional Centre",,2,2
"2020-10-26","Northern","Kenora Jail",,2,
"2020-10-26","Western","Ottawa Carleton Detention Centre",1,1,1
"2020-10-26","Western","South West Detention Center",,2,
"2020-10-26","Toronto","Toronto East Detention Centre",,1,
"2020-10-26","Northern","Algoma Treatment and Remand Centre",,1,
"2020-10-26","Western","Sarnia Jail",1,,
"2020-10-27","Northern","Monteith Correctional Centre",,1,
"2020-10-27","Central","Maplehurst Correctional Complex",,7,3
"2020-10-27","Central","Ontario Correctional Institute",,89,2
"2020-10-27","Toronto","Toronto South Detention Centre",1,15,8
"2020-10-27","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-27","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-27","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-27","Eastern","Central East Correctional Centre",,1,2
"2020-10-27","Central","Niagara Detention Centre",,1,1
"2020-10-27","Western","Central North Correctional Centre",,2,2
"2020-10-27","Northern","Kenora Jail",,2,
"2020-10-27","Western","Ottawa Carleton Detention Centre",1,1,1
"2020-10-27","Western","South West Detention Center",,2,
"2020-10-27","Toronto","Toronto East Detention Centre",,1,
"2020-10-27","Northern","Algoma Treatment and Remand Centre",,1,
"2020-10-27","Western","Sarnia Jail",1,,
"2020-10-28","Northern","Monteith Correctional Centre",,1,
"2020-10-28","Central","Maplehurst Correctional Complex",,7,3
"2020-10-28","Central","Ontario Correctional Institute",,89,2
"2020-10-28","Toronto","Toronto South Detention Centre",1,15,8
"2020-10-28","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-28","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-28","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-28","Eastern","Central East Correctional Centre",,1,2
"2020-10-28","Central","Niagara Detention Centre",,1,1
"2020-10-28","Western","Central North Correctional Centre",,2,2
"2020-10-28","Northern","Kenora Jail",,2,
"2020-10-28","Western","Ottawa Carleton Detention Centre",1,1,1
"2020-10-28","Western","South West Detention Center",,2,
"2020-10-28","Toronto","Toronto East Detention Centre",,1,
"2020-10-28","Northern","Algoma Treatment and Remand Centre",,1,
"2020-10-28","Western","Sarnia Jail",,1,
"2020-10-29","Northern","Monteith Correctional Centre",,1,
"2020-10-29","Central","Maplehurst Correctional Complex",,7,3
"2020-10-29","Central","Ontario Correctional Institute",,89,2
"2020-10-29","Toronto","Toronto South Detention Centre",1,15,8
"2020-10-29","Central","Milton-Vanier Centre For Women",,2,4
"2020-10-29","Western","Elgin-Middlesex Det. Centre",1,1,
"2020-10-29","Central","Hamilton Wentworth Det Centre",,1,1
"2020-10-29","Eastern","Central East Correctional Centre",,1,2
"2020-10-29","Central","Niagara Detention Centre",,1,1
"2020-10-29","Western","Central North Correctional Centre",,2,2
"2020-10-29","Northern","Kenora Jail",,2,
"2020-10-29","Western","Ottawa Carleton Detention Centre",1,1,1
"2020-10-29","Western","South West Detention Center",,2,
"2020-10-29","Toronto","Toronto East Detention Centre",,1,
"2020-10-29","Northern","Algoma Treatment and Remand Centre",,1,
"2020-10-29","Western","Sarnia Jail",,1,
"2020-11-01","Northern","Monteith Correctional Centre",,1,
"2020-11-01","Central","Maplehurst Correctional Complex",,7,3
"2020-11-01","Central","Ontario Correctional Institute",,89,2
"2020-11-01","Toronto","Toronto South Detention Centre",,16,8
"2020-11-01","Central","Milton-Vanier Centre For Women",,2,4
"2020-11-01","Western","Elgin-Middlesex Det. Centre",,2,
"2020-11-01","Central","Hamilton Wentworth Det Centre",,1,1
"2020-11-01","Eastern","Central East Correctional Centre",,1,2
"2020-11-01","Central","Niagara Detention Centre",,1,1
"2020-11-01","Western","Central North Correctional Centre",,2,2
"2020-11-01","Northern","Kenora Jail",,2,
"2020-11-01","Western","Ottawa Carleton Detention Centre",,2,1
"2020-11-01","Western","South West Detention Center",,2,
"2020-11-01","Toronto","Toronto East Detention Centre",,1,
"2020-11-01","Northern","Algoma Treatment and Remand Centre",,1,
"2020-11-01","Western","Sarnia Jail",,1,
"2020-11-02","Northern","Monteith Correctional Centre",,1,
"2020-11-02","Central","Maplehurst Correctional Complex",,7,3
"2020-11-02","Central","Ontario Correctional Institute",,89,2
